epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.47,1.84269,4.22419,2.0447,0.00662,1,0.33167,0.21835,0.78793,3.90985,1.3559,2e-05,2e-05,2e-05
2,24.682,1.41913,3.79529,1.64576,0.00681,1,0.31094,0.21716,0.74868,3.90842,1.3372,4.9505e-05,4.9505e-05,4.9505e-05
3,37.068,1.19179,3.6295,1.53868,0.00766,1,0.10034,0.07734,0.6848,3.903,1.28979,7.8416e-05,7.8416e-05,7.8416e-05
4,49.319,0.98092,3.8957,1.54088,0.00924,1,0.11056,0.08844,0.56257,3.94266,1.1556,0.000106733,0.000106733,0.000106733
5,61.398,1.43582,3.83185,1.94068,0.00924,1,0.11056,0.08844,0.56257,3.94266,1.1556,0.000134456,0.000134456,0.000134456
6,73.699,0.99824,3.43263,1.34188,0.01295,1,0.21106,0.15679,0.443,3.8998,1.06014,0.000161585,0.000161585,0.000161585
7,85.839,0.57639,3.47657,1.13473,0.01295,1,0.21106,0.15679,0.443,3.8998,1.06014,0.00018812,0.00018812,0.00018812
8,97.902,0.62062,3.38335,1.19101,0.01295,1,0.21106,0.15679,0.443,3.8998,1.06014,0.000214061,0.000214061,0.000214061
9,110.284,0.96063,3.38748,1.3782,0.02292,1,0.4975,0.42288,0.3342,3.85811,0.99206,0.000239408,0.000239408,0.000239408
10,122.85,0.66609,3.46998,1.26306,0.02292,1,0.4975,0.42288,0.3342,3.85811,0.99206,0.000264161,0.000264161,0.000264161
11,135.031,0.78102,3.30216,1.21058,0.02292,1,0.4975,0.42288,0.3342,3.85811,0.99206,0.00028832,0.00028832,0.00028832
12,147.182,0.64189,3.35785,1.03984,0.02292,1,0.4975,0.42288,0.3342,3.85811,0.99206,0.000311885,0.000311885,0.000311885
13,159.55,0.82115,3.21602,1.36516,0.04054,1,0.995,0.8955,0.3552,3.771,0.96837,0.000334856,0.000334856,0.000334856
14,171.617,0.75036,3.09964,1.30195,0.04054,1,0.995,0.8955,0.3552,3.771,0.96837,0.000357233,0.000357233,0.000357233
15,183.817,0.82477,3.31394,1.35254,0.04054,1,0.995,0.8955,0.3552,3.771,0.96837,0.000379016,0.000379016,0.000379016
16,195.921,1.04715,3.63371,1.43457,0.04054,1,0.995,0.8955,0.3552,3.771,0.96837,0.000400205,0.000400205,0.000400205
17,208.187,0.67232,3.1532,1.20988,0.04054,1,0.995,0.8955,0.3552,3.771,0.96837,0.0004208,0.0004208,0.0004208
18,220.754,1.20066,3.32941,1.43048,0.03155,1,0.995,0.94525,0.33446,3.50622,0.897,0.000440801,0.000440801,0.000440801
19,232.89,0.94939,2.95987,1.24736,0.03155,1,0.995,0.94525,0.33446,3.50622,0.897,0.000460208,0.000460208,0.000460208
20,245.064,0.72844,3.10645,1.20361,0.03155,1,0.995,0.94525,0.33446,3.50622,0.897,0.000479021,0.000479021,0.000479021
21,257.174,0.59871,2.93235,1.18789,0.03155,1,0.995,0.94525,0.33446,3.50622,0.897,0.00049724,0.00049724,0.00049724
22,269.381,1.01042,3.204,1.41554,0.03155,1,0.995,0.94525,0.33446,3.50622,0.897,0.000514865,0.000514865,0.000514865
23,281.943,0.65469,2.90327,1.17007,0.03155,1,0.995,0.94525,0.33446,3.50622,0.897,0.000531896,0.000531896,0.000531896
24,294.168,1.08255,3.27958,1.59799,0.03155,1,0.995,0.94525,0.33446,3.50622,0.897,0.000548333,0.000548333,0.000548333
25,306.325,0.74999,3.14347,1.22366,0.03155,1,0.995,0.94525,0.33446,3.50622,0.897,0.000564176,0.000564176,0.000564176
26,318.595,0.71303,3.16662,1.2292,0.03155,1,0.995,0.94525,0.33446,3.50622,0.897,0.000579425,0.000579425,0.000579425
27,330.947,0.82807,3.25175,1.40766,0.45572,0.88486,0.74625,0.72137,0.37629,2.59016,0.88259,0.00059408,0.00059408,0.00059408
28,343.081,0.96877,2.88511,1.30438,0.45572,0.88486,0.74625,0.72137,0.37629,2.59016,0.88259,0.000608141,0.000608141,0.000608141
29,355.131,0.75964,2.78704,1.24785,0.45572,0.88486,0.74625,0.72137,0.37629,2.59016,0.88259,0.000621608,0.000621608,0.000621608
30,367.366,0.73254,2.96881,1.23641,0.45572,0.88486,0.74625,0.72137,0.37629,2.59016,0.88259,0.000634481,0.000634481,0.000634481
31,379.471,0.58872,2.61837,1.11304,0.45572,0.88486,0.74625,0.72137,0.37629,2.59016,0.88259,0.00064676,0.00064676,0.00064676
32,391.547,0.79045,2.87992,1.1886,0.45572,0.88486,0.74625,0.72137,0.37629,2.59016,0.88259,0.000658445,0.000658445,0.000658445
33,403.634,0.94638,2.79539,1.25793,0.45572,0.88486,0.74625,0.72137,0.37629,2.59016,0.88259,0.000669536,0.000669536,0.000669536
34,415.712,0.77628,3.23637,1.37106,0.45572,0.88486,0.74625,0.72137,0.37629,2.59016,0.88259,0.0006733,0.0006733,0.0006733
35,428.269,0.61857,2.67709,1.16847,0.45572,0.88486,0.74625,0.72137,0.37629,2.59016,0.88259,0.0006634,0.0006634,0.0006634
36,440.433,0.6424,2.81059,1.12103,0.45572,0.88486,0.74625,0.72137,0.37629,2.59016,0.88259,0.0006535,0.0006535,0.0006535
37,452.786,0.79139,2.86231,1.22663,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0006436,0.0006436,0.0006436
38,464.921,0.63834,2.87589,1.00005,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0006337,0.0006337,0.0006337
39,477.039,0.77582,2.59403,1.30353,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0006238,0.0006238,0.0006238
40,489.488,0.76983,2.70631,1.16346,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0006139,0.0006139,0.0006139
41,501.675,0.63137,2.73856,1.13256,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.000604,0.000604,0.000604
42,514.286,0.74645,3.02777,1.31757,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0005941,0.0005941,0.0005941
43,526.596,0.85923,2.91554,1.24616,0.51163,0.98314,0.74625,0.62187,0.64423,3.18086,1.04354,0.0005842,0.0005842,0.0005842
